tt0006096	placeholder.jpg	Still Waters	1915	Sci-Fi	Description placeholder	50	USA	7.1	Andy Serkis	Eddie Redmayne	Edward Norton	Hugh Laurie	13	https://www.imdb.com/title/tt0006096
tt0006097	placeholder.jpg	Stingaree	1915	History	Description placeholder	250	Germany	6.7	Robert Downey Jr.	Johnny Depp	Jack Nicholson	Edward Norton	14	https://www.imdb.com/title/tt0006097
tt0006102	placeholder.jpg	The Pride of the Firm	1914	Action	Description placeholder	47	USA	4.0	Brad Pitt	Tom Hanks	Anthony Hopkins	Hugh Laurie	12	https://www.imdb.com/title/tt0006102
tt0006108	placeholder.jpg	Strejken	1914	Comedy	Description placeholder	78	Poland	5.3	Andy Serkis	Al Pacino	Peter Dinklage	Tom Hanks	9	https://www.imdb.com/title/tt0006108
tt0006111	placeholder.jpg	Stuart Webbs: Die Toten erwachen	1915	Thriller	Description placeholder	48	Poland	8.5	Sam Claflin	Bryan Cranston	Kevin Spacey	Tom Hardy	11	https://www.imdb.com/title/tt0006111
tt0006128	placeholder.jpg	Sweet Alyssum	1915	Comedy	Description placeholder	59	Japan	6.8	Jack Nicholson	Al Pacino	Jake Gyllenhaal	Hugh Laurie	10	https://www.imdb.com/title/tt0006128
tt0006133	placeholder.jpg	Tainted Money	1915	Musical	Description placeholder	50	USA	6.1	David Tennant	Leonardo DiCaprio	Christopher Waltz	Bryan Cranston	11	https://www.imdb.com/title/tt0006133
tt0006140	placeholder.jpg	Temptation	1915	Crime	Description placeholder	60	USA	7.4	Andy Serkis	Robert Downey Jr.	Jake Gyllenhaal	Edward Norton	10	https://www.imdb.com/title/tt0006140
tt0006182	placeholder.jpg	Trilby	1915	Sci-Fi	Description placeholder	59	France	4.2	Christopher Waltz	Leonardo DiCaprio	Clint Eastwood	Heath Ledger	7	https://www.imdb.com/title/tt0006182
tt0006201	placeholder.jpg	The Unknown	1915	Crime	Description placeholder	50	England	4.2	Ian McKellen	Bryan Cranston	J.K. Simmons	Tom Hardy	7	https://www.imdb.com/title/tt0006201
tt0006204	placeholder.jpg	The Valley of Decision	1916	Western	Description placeholder	50	Germany	5.8	Heath Ledger	Hugh Laurie	Kevin Spacey	Christopher Waltz	11	https://www.imdb.com/title/tt0006204
tt0006206	placeholder.jpg	Les vampires	1915	Western	Description placeholder	421	USA	5.4	Jack Nicholson	Leonardo DiCaprio	Peter Dinklage	Robert Downey Jr.	5	https://www.imdb.com/title/tt0006206
tt0006217	placeholder.jpg	Via Wireless	1915	Adventure	Description placeholder	50	China	7.3	Edward Norton	Christian Bale	Benedict Cumberbatch	J.K. Simmons	6	https://www.imdb.com/title/tt0006217
tt0006234	placeholder.jpg	Vordertreppe - Hintertreppe	1916	Romance	Description placeholder	40	USA	5.3	Christian Bale	Jake Gyllenhaal	Alan Rickman	Benedict Cumberbatch	11	https://www.imdb.com/title/tt0006234
tt0006242	placeholder.jpg	The Warning	1915	Horror	Description placeholder	50	France	4.8	Christopher Waltz	Heath Ledger	Kevin Spacey	Jack Nicholson	12	https://www.imdb.com/title/tt0006242
tt0006243	placeholder.jpg	The Warrens of Virginia	1915	Western	Description placeholder	50	England	5.0	Jake Gyllenhaal	Benedict Cumberbatch	Robert Downey Jr.	Al Pacino	5	https://www.imdb.com/title/tt0006243
tt0006250	placeholder.jpg	Wenn Völker streiten	1915	Adventure	Description placeholder	40	Germany	5.7	Leonardo DiCaprio	Brad Pitt	Christian Bale	Al Pacino	10	https://www.imdb.com/title/tt0006250
tt0006276	placeholder.jpg	The Whirl of Life	1915	Adventure	Description placeholder	60	China	6.3	Tom Hardy	David Tennant	Sam Claflin	Christopher Waltz	8	https://www.imdb.com/title/tt0006276
tt0006283	placeholder.jpg	Who Pays?	1915	Romance	Description placeholder	360	France	6.2	Edward Norton	Jake Gyllenhaal	Christian Bale	Kevin Spacey	8	https://www.imdb.com/title/tt0006283
tt0006310	placeholder.jpg	The Woman	1915	Thriller	Description placeholder	50	Germany	7.5	Bryan Cranston	Christian Bale	Heath Ledger	J.K. Simmons	14	https://www.imdb.com/title/tt0006310
tt0006311	placeholder.jpg	The Wonderful Adventure	1915	History	Description placeholder	60	Germany	5.8	Peter Dinklage	Sam Claflin	Jack Nicholson	David Tennant	6	https://www.imdb.com/title/tt0006311
tt0006318	placeholder.jpg	Het wrak van de Noorzee	1915	Adventure	Description placeholder	60	USA	7.7	Bryan Cranston	Kevin Spacey	Tom Hanks	Harrison Ford	9	https://www.imdb.com/title/tt0006318
tt0006327	placeholder.jpg	Young Romance	1915	Action	Description placeholder	59	Germany	6.1	Bryan Cranston	David Tennant	Al Pacino	Clint Eastwood	8	https://www.imdb.com/title/tt0006327
tt0006330	placeholder.jpg	Zaza	1915	Sci-Fi	Description placeholder	50	USA	7.1	Benedict Cumberbatch	Christopher Waltz	Sam Claflin	Andy Serkis	12	https://www.imdb.com/title/tt0006330
tt0006333	placeholder.jpg	20,000 Leagues Under the Sea	1916	Action	Description placeholder	105	France	4.3	Jack Nicholson	Anthony Hopkins	Robert Downey Jr.	Alan Rickman	13	https://www.imdb.com/title/tt0006333
tt0006338	placeholder.jpg	Acquitted	1916	Action	Description placeholder	50	Germany	6.7	Clint Eastwood	Christian Bale	Ralph Fiennes	Edward Norton	14	https://www.imdb.com/title/tt0006338
tt0006339	placeholder.jpg	The Adventures of Peg o' the Ring	1916	Comedy	Description placeholder	300	England	8.5	J.K. Simmons	Heath Ledger	Clint Eastwood	Alan Rickman	6	https://www.imdb.com/title/tt0006339
tt0006341	placeholder.jpg	Aktiebolaget Hälsans gåva	1916	Comedy	Description placeholder	57	USA	6.1	Clint Eastwood	Brad Pitt	Leonardo DiCaprio	Christopher Waltz	6	https://www.imdb.com/title/tt0006341
tt0006343	placeholder.jpg	Alien Souls	1916	Comedy	Description placeholder	50	China	4.2	Jake Gyllenhaal	Christopher Waltz	Alan Rickman	Anthony Hopkins	8	https://www.imdb.com/title/tt0006343
tt0006344	placeholder.jpg	All Man	1916	Action	Description placeholder	50	France	8.5	Bryan Cranston	Clint Eastwood	Kevin Spacey	Hugh Laurie	11	https://www.imdb.com/title/tt0006344
tt0006352	placeholder.jpg	Ambition	1916	Crime	Description placeholder	50	Poland	6.5	Benedict Cumberbatch	Jake Gyllenhaal	Eddie Redmayne	Hugh Laurie	11	https://www.imdb.com/title/tt0006352
tt0006356	placeholder.jpg	America Preparing	1916	History	Description placeholder	100	Japan	5.3	Christian Bale	Tom Hanks	David Tennant	Al Pacino	10	https://www.imdb.com/title/tt0006356
tt0006357	placeholder.jpg	American Aristocracy	1916	Musical	Description placeholder	52	China	4.7	David Tennant	Al Pacino	Alan Rickman	Leonardo DiCaprio	10	https://www.imdb.com/title/tt0006357
tt0006358	placeholder.jpg	The American Beauty	1916	Drama	Description placeholder	50	Germany	4.4	Bryan Cranston	Edward Norton	J.K. Simmons	Kevin Spacey	10	https://www.imdb.com/title/tt0006358
tt0006359	placeholder.jpg	The Americano	1916	Western	Description placeholder	61	Germany	5.4	Brad Pitt	Alan Rickman	Ian McKellen	David Tennant	8	https://www.imdb.com/title/tt0006359
tt0006366	placeholder.jpg	Anton the Terrible	1916	Horror	Description placeholder	50	Germany	6.8	Heath Ledger	Leonardo DiCaprio	Eddie Redmayne	Brad Pitt	14	https://www.imdb.com/title/tt0006366
tt0006367	placeholder.jpg	The Apostle of Vengeance	1916	Family	Description placeholder	50	France	7.6	Robert Downey Jr.	Brad Pitt	Christian Bale	Jack Nicholson	5	https://www.imdb.com/title/tt0006367
tt0006371	placeholder.jpg	Arms and the Woman	1916	Western	Description placeholder	50	France	4.0	Anthony Hopkins	Kevin Spacey	Hugh Laurie	Brad Pitt	12	https://www.imdb.com/title/tt0006371
tt0006375	placeholder.jpg	The Aryan	1916	Comedy	Description placeholder	50	China	8.6	Christian Bale	Clint Eastwood	Johnny Depp	Kevin Spacey	14	https://www.imdb.com/title/tt0006375
tt0006376	placeholder.jpg	As in a Looking Glass	1916	Romance	Description placeholder	50	USA	4.4	Benedict Cumberbatch	Clint Eastwood	Sam Claflin	Brad Pitt	12	https://www.imdb.com/title/tt0006376
tt0006378	placeholder.jpg	Ashes of Embers	1916	Family	Description placeholder	50	England	7.3	Al Pacino	Hugh Laurie	Kevin Spacey	Anthony Hopkins	13	https://www.imdb.com/title/tt0006378
