tt0035599	placeholder.jpg	Voice of Firestone Televues	1943	Romance	Description placeholder	15	England	7.3	Jake Gyllenhaal	Johnny Depp	Bryan Cranston	Sam Claflin	8
tt0038276	placeholder.jpg	You Are an Artist	1946	Sci-Fi	Description placeholder	15	USA	6.3	Heath Ledger	Edward Norton	Benedict Cumberbatch	Al Pacino	5
tt0039120	placeholder.jpg	Americana	1947	Family	Description placeholder	30	France	6.4	Heath Ledger	Jake Gyllenhaal	Harrison Ford	Jack Nicholson	11
tt0039121	placeholder.jpg	Birthday Party	1947	Comedy	Description placeholder	30	England	4.7	Al Pacino	Ralph Fiennes	J.K. Simmons	Edward Norton	14
tt0039122	placeholder.jpg	The Borden Show	1947	Action	Description placeholder	30	Germany	4.5	Christopher Waltz	Tom Hardy	Al Pacino	Benedict Cumberbatch	7
tt0039123	placeholder.jpg	Kraft Theatre	1947	Western	Description placeholder	60	England	4.5	Tom Hanks	David Tennant	Tom Hardy	Peter Dinklage	14
tt0039124	placeholder.jpg	Party Line	1947	Musical	Description placeholder	30	England	7.0	Eddie Redmayne	Edward Norton	Benedict Cumberbatch	Tom Hanks	7
tt0039125	placeholder.jpg	Public Prosecutor	1947	Crime	Description placeholder	20	France	5.1	Sam Claflin	Christian Bale	Leonardo DiCaprio	Bryan Cranston	5
tt0040021	placeholder.jpg	Actor's Studio	1948	Musical	Description placeholder	30	USA	7.3	Edward Norton	Al Pacino	Jack Nicholson	Eddie Redmayne	13
tt0040022	placeholder.jpg	The Adventures of Oky Doky	1948	History	Description placeholder	30	England	7.6	Alan Rickman	Benedict Cumberbatch	Leonardo DiCaprio	Sam Claflin	7
tt0040023	placeholder.jpg	The Alan Dale Show	1948	Thriller	Description placeholder	30	Germany	8.7	Hugh Laurie	Andy Serkis	Sam Claflin	Eddie Redmayne	13
tt0040024	placeholder.jpg	America Song	1948	Adventure	Description placeholder	15	Japan	7.4	Robert Downey Jr.	Kevin Spacey	Harrison Ford	Benedict Cumberbatch	5
tt0040025	placeholder.jpg	America Speaks	1948	Western	Description placeholder	15	Germany	8.7	Ralph Fiennes	Al Pacino	Heath Ledger	Leonardo DiCaprio	7
tt0040026	placeholder.jpg	America's Town Meeting	1948	Musical	Description placeholder	60	Japan	5.1	Peter Dinklage	Anthony Hopkins	Harrison Ford	Christopher Waltz	13
tt0040027	placeholder.jpg	The Arrow Show	1948	Adventure	Description placeholder	30	Poland	4.0	Alan Rickman	Tom Hardy	Hugh Laurie	Eddie Redmayne	12
tt0040028	placeholder.jpg	Talent Scouts	1948	Comedy	Description placeholder	30	China	4.4	Robert Downey Jr.	Kevin Spacey	Clint Eastwood	J.K. Simmons	6
tt0040029	placeholder.jpg	At Liberty Club	1948	Comedy	Description placeholder	30	England	4.3	Andy Serkis	Tom Hardy	Al Pacino	Bryan Cranston	6
tt0040030	placeholder.jpg	Author Meets the Critics	1947	Musical	Description placeholder	30	France	6.0	Anthony Hopkins	Tom Hanks	Clint Eastwood	Robert Downey Jr.	14
tt0040031	placeholder.jpg	Barney Blake, Police Reporter	1948	Musical	Description placeholder	30	Japan	7.1	Peter Dinklage	Jack Nicholson	Johnny Depp	Leonardo DiCaprio	7
tt0040032	placeholder.jpg	The Bigelow Show	1948	Western	Description placeholder	30	China	7.4	Ian McKellen	Johnny Depp	Leonardo DiCaprio	J.K. Simmons	13
tt0040033	placeholder.jpg	Break the $250,000 Bank	1948	Family	Description placeholder	30	China	5.2	Heath Ledger	David Tennant	Tom Hanks	Brad Pitt	11
tt0040034	placeholder.jpg	Candid Camera	1948	History	Description placeholder	30	USA	5.3	Leonardo DiCaprio	David Tennant	Jake Gyllenhaal	Edward Norton	8
tt0040035	placeholder.jpg	Captain Billy's Mississippi Music Hall	1948	Romance	Description placeholder	30	Japan	7.4	Leonardo DiCaprio	Edward Norton	Peter Dinklage	Jake Gyllenhaal	11
tt0040036	placeholder.jpg	The Chevrolet Tele-Theatre	1948	Romance	Description placeholder	30	Poland	4.7	Tom Hanks	J.K. Simmons	Clint Eastwood	Jake Gyllenhaal	12
